space,ID,sdg_type,raw_material,layer,exp_type,D2,p_emp,p_chisq
SP,SDG_L4_3192,Multifacial,chert,4,Bidirectional,9.836720651191207,0,0.07999611958351402
SP,SDG_L4_3192,Multifacial,chert,4,Levallois,1.247908308179115,1,0.9401994817261543
SP,SDG_L4_3192,Multifacial,chert,4,Discoid,7.913415356612766,0.6,0.16107247753808887
SP,SDG_L4_3192,Multifacial,chert,4,Multiplatform,3.923323896055808,0.6,0.5605075055839542
SP,SDG_L4_3283,Multifacial,sandstone,4,Unidirectional,1.6119368862648398,0.3125,0.8998020638784563
SP,SDG_L4_3283,Multifacial,sandstone,4,Bidirectional,12.933975595932775,0,0.02400540689795269
SP,SDG_L4_3283,Multifacial,sandstone,4,Levallois,2.188389355372005,0.9047619047619048,0.8225112742023293
SP,SDG_L4_3283,Multifacial,sandstone,4,Discoid,12.427279620541297,0.4,0.02937965069358774
SP,SDG_L4_3283,Multifacial,sandstone,4,Multiplatform,5.347206215286365,0.4,0.374991212013079
SP,SDG_L4_3342,Multifacial,chert,4,Unidirectional,10.41367909733412,0,0.06432728656354254
SP,SDG_L4_3342,Multifacial,chert,4,Bidirectional,20.453756891053185,0,0.0010269095009226453
SP,SDG_L4_3342,Multifacial,chert,4,Levallois,4.744338366756807,0.5238095238095238,0.4478712521129507
SP,SDG_L4_3342,Multifacial,chert,4,Discoid,14.65638399490774,0.2,0.0119360263338327
SP,SDG_L4_3342,Multifacial,chert,4,Multiplatform,10.831853423954964,0.1,0.054817661574987804
SP,SDG_L4_3506,Multifacial,chert,4,Unidirectional,18.920610399076562,0,0.001988688984959557
SP,SDG_L4_3506,Multifacial,chert,4,Bidirectional,27.42634499183184,0,4.710906534384441e-5
SP,SDG_L4_3506,Multifacial,chert,4,Levallois,14.22733200932707,0,0.01422806704522862
SP,SDG_L4_3506,Multifacial,chert,4,Discoid,15.660222158714783,0,0.007884174582323588
SP,SDG_L4_3506,Multifacial,chert,4,Multiplatform,9.340140152558744,0.1,0.09624233349262579
SP,SDG_L4_3513,Multifacial,sandstone,4,Unidirectional,3.8950768623897027,0.125,0.5646191945867969
SP,SDG_L4_3513,Multifacial,sandstone,4,Bidirectional,19.579464026161762,0,0.0014983468483938279
SP,SDG_L4_3513,Multifacial,sandstone,4,Levallois,6.339440485218411,0.19047619047619047,0.27457660208710327
SP,SDG_L4_3513,Multifacial,sandstone,4,Discoid,22.31072278304,0,4.5695974509425176e-4
SP,SDG_L4_3513,Multifacial,sandstone,4,Multiplatform,12.566508954888114,0.1,0.02779802445633382
SP,SDG_L4_3821,Multifacial,chert,4,Unidirectional,23.669626576044827,0,2.5125735329183693e-4
SP,SDG_L4_3821,Multifacial,chert,4,Bidirectional,16.679907254232262,0,0.00514862519591095
SP,SDG_L4_3821,Multifacial,chert,4,Levallois,23.886633001088242,0,2.2827825069683707e-4
SP,SDG_L4_3821,Multifacial,chert,4,Discoid,13.727152637403368,0.2,0.017438696997353415
SP,SDG_L4_3821,Multifacial,chert,4,Multiplatform,21.549175977220724,0,6.376497507003705e-4
SP,SDG_L4_3952,Bifacial_adjacent,sandstone,4,Unidirectional,7.600263832194297,0,0.17968549525529742
SP,SDG_L4_3952,Bifacial_adjacent,sandstone,4,Bidirectional,6.174976969287882,0.16666666666666666,0.2895633752951895
SP,SDG_L4_3952,Bifacial_adjacent,sandstone,4,Levallois,7.356008665285949,0.14285714285714285,0.195481010113634
SP,SDG_L4_3952,Bifacial_adjacent,sandstone,4,Discoid,4.681334369140436,1,0.45599391755151675
SP,SDG_L4_3952,Bifacial_adjacent,sandstone,4,Multiplatform,3.877692468348243,0.6,0.5671563604813884
SP,SDG_L4_3971,Bifacial_independent,chert,4,Unidirectional,2.5170947387222524,0.3125,0.7739183976401074
SP,SDG_L4_3971,Bifacial_independent,chert,4,Bidirectional,14.800653370030235,0,0.011248955563856104
SP,SDG_L4_3971,Bifacial_independent,chert,4,Levallois,1.8831221311710717,0.9523809523809523,0.8650694350449235
SP,SDG_L4_3971,Bifacial_independent,chert,4,Discoid,15.740915435501885,0,0.007624049276019072
SP,SDG_L4_3971,Bifacial_independent,chert,4,Multiplatform,7.520601949886612,0.2,0.18471053682155575
SP,SDG_L4_4262,Bifacial_adjacent,chert,4,Unidirectional,7.779664516120788,0,0.1688041082775984
SP,SDG_L4_4262,Bifacial_adjacent,chert,4,Bidirectional,7.702627063625991,0.16666666666666666,0.1734038932133454
SP,SDG_L4_4262,Bifacial_adjacent,chert,4,Levallois,5.523114641888024,0.2857142857142857,0.3554179334570937
SP,SDG_L4_4262,Bifacial_adjacent,chert,4,Discoid,2.2255284449713577,1,0.8171400965647857
SP,SDG_L4_4262,Bifacial_adjacent,chert,4,Multiplatform,2.806719190893136,0.7,0.7297540056356657
SP,SDG_L4_4386,Unifacial_centripetal,chert,4,Unidirectional,11.366515503017695,0,0.04457830250414433
SP,SDG_L4_4386,Unifacial_centripetal,chert,4,Bidirectional,22.38529046509287,0,4.4225666868768755e-4
SP,SDG_L4_4386,Unifacial_centripetal,chert,4,Levallois,6.200821198997554,0.19047619047619047,0.2871657442561761
SP,SDG_L4_4386,Unifacial_centripetal,chert,4,Discoid,20.418719293677576,0,0.0010426223813418904
SP,SDG_L4_4386,Unifacial_centripetal,chert,4,Multiplatform,11.308613022256267,0.1,0.04559303675674442
SP,SDG_L4_4460,Unifacial_unidirection,chert,4,Unidirectional,3.7260429640281587,0.125,0.5894931966307737
SP,SDG_L4_4460,Unifacial_unidirection,chert,4,Bidirectional,17.843467491503652,0,0.003149118296993861
SP,SDG_L4_4460,Unifacial_unidirection,chert,4,Levallois,7.352164245942675,0.14285714285714285,0.1957389349086672
SP,SDG_L4_4460,Unifacial_unidirection,chert,4,Discoid,21.775361038145988,0,5.776602022644314e-4
SP,SDG_L4_4460,Unifacial_unidirection,chert,4,Multiplatform,12.428119664794005,0.1,0.029369854972485076
SP,SDG_L4_4583,Unifacial_centripetal,chert,4,Unidirectional,4.916567754024079,0.125,0.4261470883720709
SP,SDG_L4_4583,Unifacial_centripetal,chert,4,Bidirectional,15.085316769069182,0,0.010003945700820426
SP,SDG_L4_4583,Unifacial_centripetal,chert,4,Levallois,3.612040954730992,0.6666666666666666,0.6065063079610512
SP,SDG_L4_4583,Unifacial_centripetal,chert,4,Discoid,14.88254551135,0.2,0.010876170747964039
SP,SDG_L4_4583,Unifacial_centripetal,chert,4,Multiplatform,5.531753156489895,0.4,0.3544765941301707
MFA,SDG_L2_489,Bifacial_adjacent,chert,2,Unidirectional,8.743291856000438,0.5625,0.724686235180938
