order,cv_pct,cumul_pct,dataset,face_target,smooth_iters,setting
4,57.17497172098164,92.10416606411904,EXP,20000,3,f20000_s3
5,74.53789844119186,95.00089245537912,EXP,20000,3,f20000_s3
6,67.97048316360399,96.81228835991928,EXP,20000,3,f20000_s3
7,60.45549074504829,97.70670639945031,EXP,20000,3,f20000_s3
8,51.08656392454009,98.37126820456983,EXP,20000,3,f20000_s3
9,58.546830108430136,98.79209494267973,EXP,20000,3,f20000_s3
10,54.35499676861556,99.10394622141347,EXP,20000,3,f20000_s3
11,55.313590711560714,99.32506553176852,EXP,20000,3,f20000_s3
12,72.77547771432418,99.49994980417797,EXP,20000,3,f20000_s3
13,54.088781950739154,99.62189521957148,EXP,20000,3,f20000_s3
14,57.399870801580064,99.71753870734025,EXP,20000,3,f20000_s3
15,56.42223190535919,99.79295562831624,EXP,20000,3,f20000_s3
16,54.23749765020162,99.85429392289838,EXP,20000,3,f20000_s3
17,55.83369777097445,99.90258105106368,EXP,20000,3,f20000_s3
18,54.91860741063018,99.9430195474963,EXP,20000,3,f20000_s3
19,45.866122827694944,99.97381665511963,EXP,20000,3,f20000_s3
20,56.015880582517866,100,EXP,20000,3,f20000_s3
1,49.78844679220484,44.89216348818347,SDG,20000,3,f20000_s3
2,54.490022054591535,78.07485188162998,SDG,20000,3,f20000_s3
3,53.42405283406756,87.105358791060155,SDG,20000,3,f20000_s3
4,54.64162710521124,92.41317113810052,SDG,20000,3,f20000_s3
5,40.06738776824738,94.976619659025,SDG,20000,3,f20000_s3
6,54.18843202773026,96.64961547188858,SDG,20000,3,f20000_s3
7,48.91151360700135,97.61332289169653,SDG,20000,3,f20000_s3
8,44.12006685470839,98.29097566304155,SDG,20000,3,f20000_s3
9,54.79367513486917,98.72637658823318,SDG,20000,3,f20000_s3
10,50.44352069799868,99.05664923058413,SDG,20000,3,f20000_s3
11,52.42682833071608,99.28433745447812,SDG,20000,3,f20000_s3
12,43.618418314168665,99.45504553933743,SDG,20000,3,f20000_s3
13,42.92683626294128,99.5815440967538,SDG,20000,3,f20000_s3
14,44.93064168629121,99.69161799332433,SDG,20000,3,f20000_s3
15,51.50084950647249,99.77154338512973,SDG,20000,3,f20000_s3
16,50.950671352316654,99.83729914930375,SDG,20000,3,f20000_s3
17,48.89222980338285,99.8897755738696,SDG,20000,3,f20000_s3
18,51.54259944716575,99.93503877374425,SDG,20000,3,f20000_s3
19,40.2582935902399,99.9697122608845,SDG,20000,3,f20000_s3
20,48.676181767454075,100.00000000000003,SDG,20000,3,f20000_s3
1,77.62193665046439,29.978312584835937,EXP,50000,3,f50000_s3
2,51.4630155676874,71.97110369833342,EXP,50000,3,f50000_s3
3,87.90139243254755,84.27145866491065,EXP,50000,3,f50000_s3
4,59.40293017210719,90.72360428718581,EXP,50000,3,f50000_s3
5,71.24474322084967,94.1253728449949,EXP,50000,3,f50000_s3
6,60.90981847979564,96.12665996227526,EXP,50000,3,f50000_s3
7,61.53484705667176,97.20217599884215,EXP,50000,3,f50000_s3
8,55.803897934290994,97.98307871902284,EXP,50000,3,f50000_s3
