version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,SDI,1,0.10153694852907869,0.023245892256293862,1.3595095288343366,0.2085,free
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Raw_mat:SDI,1,0.11701844435178343,0.02679022945643922,1.5667960525725253,0.1354,free
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Residual,41,3.0621446936540826,0.7010481076401387,NA,NA,free
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Total,49,4.367952299253534,1,NA,NA,free
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Raw_mat,1,0.13015464596970014,0.029797634464081273,1.7426807086603757,2e-4,restricted_within_rawmat
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,core_type,5,0.9570975667488896,0.21911813618304712,2.5629749187245534,1e-4,restricted_within_rawmat
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,SDI,1,0.10153694852907869,0.023245892256293862,1.3595095288343366,0.1901,restricted_within_rawmat
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Raw_mat:SDI,1,0.11701844435178343,0.02679022945643922,1.5667960525725253,0.1097,restricted_within_rawmat
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Residual,41,3.0621446936540826,0.7010481076401387,NA,NA,restricted_within_rawmat
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Total,49,4.367952299253534,1,NA,NA,restricted_within_rawmat
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat,1,3.308564385794572,0.1517056719294096,5.473468568503234,0.0039,free
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,core_type,5,11.074771901031411,0.5078050528272937,3.6642730100040404,0.001,free
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,SDI,1,0.4454858897874825,0.020426604522326846,0.7369821865739197,0.5386,free
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat:SDI,1,0.3310754043387707,0.015180607302116048,0.5477090992193481,0.666,free
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Residual,11,6.649203843641071,0.30488206341885377,NA,NA,free
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Total,19,21.809101424593308,1,NA,NA,free
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat,1,3.308564385794572,0.1517056719294096,5.473468568503234,0.0028,restricted_within_rawmat
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,core_type,5,11.074771901031411,0.5078050528272937,3.6642730100040404,9e-4,restricted_within_rawmat
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,SDI,1,0.4454858897874825,0.020426604522326846,0.7369821865739197,0.5114,restricted_within_rawmat
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat:SDI,1,0.3310754043387707,0.015180607302116048,0.5477090992193481,0.6317,restricted_within_rawmat
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Residual,11,6.649203843641071,0.30488206341885377,NA,NA,restricted_within_rawmat
C,"C raw SDI, common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Total,19,21.809101424593308,1,NA,NA,restricted_within_rawmat
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat,1,4.435231882250289,0.09521972334939613,2.276574765983872,0.069,free
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,core_type,5,17.719090733366645,0.38041008056110653,1.8190180766510269,0.0499,free
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,SDI,1,1.411058048334592,0.030293919361931675,0.724286628402195,0.5744,free
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat:SDI,1,1.5832962832877335,0.033991691545627596,0.8126953587328803,0.5102,free
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Residual,11,21.430243115107427,0.460084585181938,NA,NA,free
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Total,19,46.57892006234669,1,NA,NA,free
