model,model_label,version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,SDI,1,2.081079001445083,0.023415056587248635,1.203317754750337,0.2923,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer:SDI,1,2.399419051725385,0.026996828488327296,1.3873877656842835,0.2157,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Residual,39,67.44858599148455,0.7588911601259998,NA,NA,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Total,47,88.87781217570905,1,NA,NA,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.5298528392803667,0.017212989404553396,0.884588755344211,0.0342,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,core_type,5,15.418875291773652,0.17348396539387073,1.7830948641535398,0.0309,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,SDI,1,2.081079001445083,0.023415056587248635,1.203317754750337,0.3041,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer:SDI,1,2.399419051725385,0.026996828488327296,1.3873877656842835,0.1988,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Residual,39,67.44858599148455,0.7588911601259998,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Total,47,88.87781217570905,1,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer,1,0.0766908438886428,0.017519692801949076,0.9032310032925458,0.4918,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,core_type,5,0.7521751767814071,0.1718311777817523,1.771757631360813,0.0063,free
