order,cv_pct,cumul_pct,dataset,h
8,54.76558455926729,99.91603081331738,EXP,0.25
9,61.68695584216534,99.97835872875119,EXP,0.25
10,96.8614570015161,99.99328761015015,EXP,0.25
11,85.62402342031807,99.99736045761951,EXP,0.25
12,209.05341960357032,99.9989024406748,EXP,0.25
13,155.98133666553957,99.99947154237135,EXP,0.25
14,262.4372237420453,99.99978857627057,EXP,0.25
15,190.0353147050293,99.99991091525398,EXP,0.25
16,239.85609558522484,99.99996471186431,EXP,0.25
17,203.1935394237903,99.99998469491521,EXP,0.25
18,148.98115881921956,99.99999132203388,EXP,0.25
19,172.51708299536023,99.99999611864405,EXP,0.25
20,206.94944184828478,100,EXP,0.25
1,43.85583547456829,32.42240135625077,SDG,0.25
2,39.19513371072235,61.39827776203386,SDG,0.25
3,40.037415176011294,79.63068480673554,SDG,0.25
4,48.064732512186964,91.50683649673722,SDG,0.25
5,52.06720261460194,96.83454481357752,SDG,0.25
6,58.008442144505345,98.88238465291984,SDG,0.25
7,61.450644438167544,99.6749729631636,SDG,0.25
8,56.76715717451,99.91186918169001,SDG,0.25
9,48.39857923518191,99.97851027269601,SDG,0.25
10,68.56077916463553,99.99399516362763,SDG,0.25
11,104.63441081708523,99.99806218181536,SDG,0.25
12,197.85985907485323,99.99925043636256,SDG,0.25
13,270.616640736164,99.99969916363594,SDG,0.25
14,294.947804209488,99.99988572727257,SDG,0.25
15,303.7860688201401,99.99995930909085,SDG,0.25
16,290.87061983781524,99.99998469090907,SDG,0.25
17,253.91447826089203,99.99999223636364,SDG,0.25
18,213.00321680756463,99.99999503636363,SDG,0.25
19,228.22036454775434,99.9999975090909,SDG,0.25
20,266.39613677336087,100,SDG,0.25
1,40.55201624615959,34.257365386373415,EXP,0.3
2,42.79254960404171,59.56998734474234,EXP,0.3
3,45.10134670062448,81.77920470252693,EXP,0.3
4,48.25677925274855,94.79228317408338,EXP,0.3
5,58.30465038437341,98.71740101390569,EXP,0.3
6,55.36103239869404,99.69206003316759,EXP,0.3
7,61.34299192460658,99.92772340660815,EXP,0.3
8,62.10165529453674,99.98329496606205,EXP,0.3
9,75.50585563356512,99.99417369490143,EXP,0.3
10,187.05235757808038,99.99743627118035,EXP,0.3
11,129.21005681690866,99.99866403389512,EXP,0.3
12,241.63630204121955,99.99941972881217,EXP,0.3
13,143.29744909245278,99.9997178305078,EXP,0.3
14,238.35293392124558,99.99990011864384,EXP,0.3
15,154.58847900500305,99.99995550847446,EXP,0.3
16,215.5170241120389,99.99998183050843,EXP,0.3
17,159.89453399587524,99.99998989830506,EXP,0.3
18,142.05938487847766,99.99999313559321,EXP,0.3
19,175.53801550183428,99.99999696610168,EXP,0.3
20,201.79387583850814,100,EXP,0.3
1,40.87641446154427,38.65326524048972,SDG,0.3
2,40.9973839409545,70.10598473814326,SDG,0.3
3,44.01541871447085,86.95461291383468,SDG,0.3
4,53.133244482108786,95.80313229243522,SDG,0.3
5,57.87984122710094,98.84412967314759,SDG,0.3
6,62.55076812801011,99.70319907283519,SDG,0.3
7,65.76264849876729,99.93805263638616,SDG,0.3
8,63.64439407548939,99.98609278182323,SDG,0.3
9,64.01343572252924,99.9960552727287,SDG,0.3
10,146.90585581358678,99.99835656363696,SDG,0.3
11,224.7889499438065,99.99924509090935,SDG,0.3
12,269.75011571085605,99.9996624727274,SDG,0.3
13,284.6037291732871,99.99986147272732,SDG,0.3
14,281.30542794397286,99.9999494909091,SDG,0.3
15,295.84016172583483,99.99998181818182,SDG,0.3
16,279.2191985317627,99.99999205454544,SDG,0.3
17,229.5603867754203,99.99999499999998,SDG,0.3
18,202.31091224998096,99.99999639999999,SDG,0.3
19,211.36374447797243,99.99999823636362,SDG,0.3
20,254.7374723899753,100,SDG,0.3
1,36.63990978400806,41.470950577119694,EXP,0.35
2,43.925710943807616,68.69341889284544,EXP,0.35
3,50.21702878411286,88.52131832285804,EXP,0.35
4,54.65699036888062,97.53301192509511,EXP,0.35
5,66.33441974821986,99.5552753885491,EXP,0.35
