ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
SDG_L4_2158,,20,0.0,0.81445256,0.16380645,0.01863297,0.00270663,0.00021403,2.517e-05,0.00010316,2.11e-06,4.086e-05,9.8e-07,1.224e-05,4e-07,2.07e-06,1.2e-07,7e-08,2e-08,6e-08,0.0,1e-07,0.0
SDG_L4_2164,,6,0.0,0.24295512,0.67327443,0.06590504,0.01618736,0.00163223,2.382e-05,1.126e-05,4.76e-06,2.07e-06,2.11e-06,5.7e-07,8.4e-07,9e-08,2.3e-07,1e-08,3e-08,1e-08,0.0,1e-08,0.0
SDG_L4_2165,,6,0.0,0.06359792,0.77005561,0.15540821,0.00820597,0.00255266,0.00014999,1.082e-05,7.87e-06,2.72e-06,4.53e-06,8.1e-07,1.99e-06,1.7e-07,6.1e-07,2e-08,1e-07,1e-08,0.0,0.0,1e-08
SDG_L4_2182,,13,0.0,0.68666718,0.26279421,0.04624731,0.00410884,0.00014297,9.58e-06,1.806e-05,2.05e-06,6.37e-06,9.8e-07,1.66e-06,4e-07,2e-07,1.2e-07,0.0,2e-08,3e-08,0.0,2e-08,0.0
SDG_L4_2213,,5,0.0,0.43932654,0.44730986,0.10168421,0.01050814,0.00110622,4.418e-05,1.27e-05,2.61e-06,2.73e-06,1.17e-06,7.2e-07,5.8e-07,9e-08,1.8e-07,1e-08,3e-08,1e-08,0.0,1e-08,0.0
SDG_L4_2292,,5,0.0,0.28940987,0.60051288,0.09261401,0.01556471,0.00179976,7.88e-05,9.84e-06,4.29e-06,1.74e-06,2.1e-06,5.6e-07,9.2e-07,1.4e-07,2.8e-07,3e-08,4e-08,1e-08,0.0,0.0,0.0
SDG_L4_2389,,16,0.0,0.55550876,0.34922815,0.08718591,0.00688568,0.00107537,5.392e-05,3.46e-05,4.45e-06,1.39e-05,2.73e-06,4e-06,1.29e-06,6.4e-07,4.2e-07,3e-08,7e-08,3e-08,0.0,4e-08,0.0
SDG_L4_2527,,8,0.0,0.68463709,0.2490518,0.05871583,0.00711887,0.00042413,2.607e-05,1.708e-05,1.57e-06,4.88e-06,7.6e-07,1.26e-06,3.5e-07,1.5e-07,1.1e-07,0.0,2e-08,2e-08,0.0,2e-08,0.0
SDG_L4_2733,,8,0.0,0.50355667,0.44829739,0.039875,0.00748796,0.00056131,0.00013086,5.195e-05,1.268e-05,1.352e-05,5.13e-06,4.11e-06,1.93e-06,7.8e-07,5.1e-07,7e-08,7e-08,2e-08,0.0,3e-08,1e-08
SDG_L4_2818,,10,0.0,0.72304553,0.22924571,0.04304983,0.00440363,0.00018475,3.071e-05,2.656e-05,2.27e-06,7.22e-06,9.6e-07,1.95e-06,4.2e-07,2.5e-07,1.3e-07,0.0,2e-08,3e-08,0.0,3e-08,0.0
SDG_L4_3095,,6,0.0,0.7254467,0.22526997,0.04486309,0.00382252,0.00052126,4.274e-05,2.19e-05,1.61e-06,6.56e-06,9.7e-07,1.74e-06,4.9e-07,2.1e-07,1.6e-07,0.0,3e-08,3e-08,0.0,2e-08,0.0
SDG_L4_3155,,9,0.0,0.71003337,0.23480472,0.048733,0.00593754,0.00040893,3.358e-05,2.725e-05,3.15e-06,1.214e-05,1.63e-06,3.28e-06,6.6e-07,4.4e-07,1.9e-07,0.0,3e-08,4e-08,0.0,4e-08,0.0
SDG_L4_3192,,6,0.0,0.7634502,0.15985888,0.06083148,0.01463819,0.00104829,5.808e-05,6.374e-05,8.77e-06,2.704e-05,3.66e-06,8.5e-06,1.07e-06,1.64e-06,1.9e-07,1.3e-07,1e-08,5e-08,0.0,6e-08,1e-08
SDG_L4_3283,,10,0.0,0.78109118,0.15295861,0.05576309,0.00936798,0.00068557,4.577e-05,4.874e-05,4.24e-06,2.375e-05,1.98e-06,6.88e-06,7e-07,1.15e-06,1.7e-07,5e-08,2e-08,5e-08,0.0,6e-08,0.0
SDG_L4_3341,,16,0.0,0.66598214,0.27218666,0.05510856,0.00633955,0.00034441,1.426e-05,1.608e-05,1.75e-06,4.23e-06,7e-07,1.1e-06,3e-07,1.2e-07,9e-08,0.0,1e-08,2e-08,0.0,2e-08,0.0
