ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP33_Cylindrical bidirectional,Bidirectional,15,0.0,0.17171643,0.73151813,0.04672579,0.04582301,0.00348199,0.00068632,3.721e-05,5.4e-06,2.55e-06,1.31e-06,7.2e-07,7.3e-07,1.1e-07,2.5e-07,1e-08,4e-08,1e-08,0.0,1e-08,0.0
EXP34_Multiplatform,Multiplatform,12,0.0,0.65236882,0.17114882,0.1266932,0.04676347,0.002792,0.00021143,1.416e-05,2.58e-06,2.05e-06,1.15e-06,1.14e-06,3.8e-07,5e-07,9e-08,1.6e-07,1e-08,3e-08,0.0,0.0,0.0
EXP35_Levallois laminar,Levallois laminar,16,0.0,0.63444965,0.16762553,0.14664545,0.04628787,0.00438522,0.00047491,6.738e-05,1.325e-05,3.052e-05,5.28e-06,1.025e-05,1.53e-06,2.37e-06,2.7e-07,3.3e-07,2e-08,7e-08,1e-08,6e-08,1e-08
EXP36_Conical unidirectional,Unidirectional,25,0.0,0.61310487,0.28116954,0.08771548,0.01622525,0.00163161,0.00012724,2.094e-05,1.67e-06,2.06e-06,4.3e-07,5.4e-07,2.1e-07,6e-08,7e-08,0.0,1e-08,1e-08,0.0,1e-08,0.0
EXP37_Conical unidirectional,Unidirectional,19,0.0,0.66050869,0.2151269,0.10214739,0.02015362,0.00187604,0.00016089,1.99e-05,1.23e-06,3.15e-06,6.9e-07,8e-07,4.1e-07,1e-07,1.4e-07,1e-08,3e-08,2e-08,0.0,1e-08,0.0
EXP38_Multiplatform,Multiplatform,17,0.0,0.48531937,0.10266431,0.29139822,0.09830928,0.01927938,0.00166314,0.00078693,0.0001325,0.00024724,7.468e-05,7.873e-05,2.393e-05,1.492e-05,5.13e-06,8.1e-07,5.3e-07,1.9e-07,7e-08,5.1e-07,1.1e-07
EXP39_Multiplatform,Multiplatform,25,0.0,0.749899,0.14821757,0.0619059,0.03651487,0.00303108,0.00023627,0.00010538,1.376e-05,4.766e-05,6.55e-06,1.421e-05,3.46e-06,2.43e-06,1.25e-06,1.2e-07,2.5e-07,9e-08,2e-08,1.2e-07,1e-08
EXP40_Conical unidirectional,Unidirectional,24,0.0,0.55259239,0.28534446,0.14245336,0.01750262,0.00194593,0.0001398,1.036e-05,6.03e-06,1.16e-06,2.24e-06,4.1e-07,8.2e-07,1.4e-07,2e-07,4e-08,3e-08,1e-08,0.0,0.0,0.0
EXP41_Subconical unidirectional,Unidirectional,11,0.0,0.51391976,0.33663747,0.12719862,0.01795461,0.00388439,0.00033757,4.311e-05,4.82e-06,1.159e-05,2.43e-06,3.38e-06,1.09e-06,6.3e-07,3.5e-07,6e-08,6e-08,3e-08,0.0,3e-08,0.0
EXP42_Multiplatform,Multiplatform,16,0.0,0.64074612,0.15731564,0.17002369,0.02889066,0.0026465,0.00033325,2.714e-05,6.46e-06,4.71e-06,2.44e-06,1.82e-06,6.7e-07,6e-07,1.1e-07,1.4e-07,0.0,2e-08,0.0,0.0,1e-08
